8843
512 511
0 5 2
0 1 2
1 48 0
1 401 1
401 384 0
401 402 4
402 374 2
401 161 4
161 379 0
161 240 4
161 133 4
133 276 6
276 275 0
276 37 1
37 163 4
0 4 6
4 6 5
6 33 1
6 204 6
204 141 6
141 503 3
4 140 6
140 20 4
5 14 6
0 8 6
8 18 1
8 32 5
32 364 2
32 129 4
18 16 6
16 11 3
11 27 0
27 28 0
28 408 2
16 356 6
356 36 7
133 165 7
165 148 0
0 24 7
16 70 7
70 198 0
198 99 5
4 52 7
52 391 2
5 421 7
0 144 8
6 7 8
7 211 1
379 247 8
133 206 8
33 269 9
276 256 9
27 258 9
258 162 0
258 323 6
258 422 9
258 34 10
34 55 6
55 274 3
274 445 1
55 353 6
34 143 8
143 300 0
300 296 2
296 13 2
13 155 2
13 92 10
34 64 10
64 202 1
64 69 5
69 112 1
64 336 7
336 283 3
14 22 10
33 3 10
3 23 3
3 21 5
21 84 7
84 80 0
84 192 1
21 273 7
3 73 10
73 43 0
73 488 2
73 29 10
29 17 3
17 409 8
409 465 5
17 280 10
280 387 0
280 152 0
152 184 2
280 228 2
280 88 8
141 195 10
64 200 10
27 87 10
87 223 3
148 181 10
161 205 11
205 396 2
396 415 0
64 68 11
68 213 4
68 78 10
155 125 11
379 509 11
509 382 5
382 463 2
463 254 2
509 363 5
463 478 10
478 487 0
112 291 11
291 259 9
259 261 6
261 263 1
261 307 8
261 324 10
324 142 5
142 172 8
172 156 11
37 59 11
18 66 11
66 320 3
320 322 1
322 2 7
2 328 6
2 310 7
310 406 4
406 326 8
326 277 7
277 284 8
284 30 8
277 386 8
326 398 10
398 290 1
290 370 7
370 498 0
370 214 7
398 278 10
278 306 10
306 294 3
328 197 10
498 476 11
66 262 11
262 404 3
404 229 3
229 227 4
262 128 6
128 130 1
128 344 3
130 224 5
128 480 5
128 352 7
352 288 6
288 416 5
416 400 6
480 96 8
128 145 8
128 176 10
176 164 1
404 272 10
145 154 11
229 208 11
66 134 11
296 317 11
274 390 11
80 236 11
275 39 11
39 103 6
39 38 10
38 231 3
1 25 12
25 157 6
157 279 6
25 411 8
197 196 12
196 494 9
134 146 12
146 50 1
50 35 2
146 210 4
422 246 12
2 151 12
55 101 12
18 54 12
0 289 12
289 385 7
289 292 9
292 166 0
292 358 2
166 182 6
358 98 8
98 82 0
82 53 7
98 108 10
108 293 7
415 366 12
363 493 12
400 470 13
358 97 13
148 446 13
154 180 13
180 100 6
100 312 9
312 44 6
44 316 0
316 45 0
316 56 6
324 456 13
456 414 0
414 26 6
26 394 7
394 347 3
394 257 11
257 75 4
75 122 2
257 325 7
75 330 8
13 12 13
12 77 3
12 348 7
12 132 7
132 420 8
420 167 1
12 319 13
130 135 14
45 174 14
174 426 3
289 9 14
9 41 0
9 187 2
187 215 11
187 441 14
88 345 14
27 31 14
205 495 14
415 91 14
0 193 15
193 393 14
326 321 15
288 505 15
98 362 15
64 71 15
100 76 15
76 508 4
76 332 4
332 457 9
457 177 3
508 510 15
510 188 2
510 454 6
188 189 8
189 349 0
454 150 11
150 147 14
77 201 15
201 85 10
456 395 15
274 304 15
18 81 15
336 338 15
3 138 15
138 170 14
273 51 15
165 183 15
386 266 16
224 252 16
157 477 16
198 464 17
464 209 0
296 313 17
155 251 17
28 403 17
33 19 18
19 219 4
128 116 18
256 185 18
185 436 14
390 270 18
157 413 18
8 57 18
57 58 11
441 305 18
305 299 0
299 124 9
299 447 12
447 264 12
264 260 7
260 460 6
260 369 9
369 484 17
484 389 1
480 268 18
52 297 18
252 439 18
100 212 19
122 314 19
64 72 19
72 232 5
41 235 19
235 203 2
319 367 19
367 500 5
500 418 2
266 225 19
209 504 19
504 194 8
23 442 19
442 430 3
98 47 20
47 190 16
348 444 20
505 337 20
332 333 20
52 104 21
104 221 14
104 105 19
105 107 19
256 340 21
38 230 21
8 388 21
69 376 21
31 63 21
278 282 21
18 74 21
313 79 21
305 451 21
275 475 21
11 10 21
53 169 22
169 425 17
84 86 22
27 83 22
195 95 22
204 136 23
136 160 3
160 234 3
136 335 10
136 428 10
136 139 14
272 410 23
410 350 18
350 318 9
318 94 5
318 302 11
350 42 12
338 372 23
31 159 23
498 466 23
116 218 23
384 459 24
256 432 24
42 186 24
170 392 24
147 179 24
138 168 24
5 453 24
453 373 12
82 137 25
240 243 25
