37004
2048 2047
0 198 2
0 392 3
0 1780 4
392 1032 7
1032 1159 1
1032 1408 2
1408 1920 2
1032 334 2
1032 298 6
198 1734 7
392 384 7
384 385 0
385 1217 0
392 547 7
547 1077 0
547 906 0
1077 1047 4
384 10 7
10 204 1
204 580 0
580 546 2
10 594 2
580 551 3
580 615 4
204 64 4
64 1105 0
64 68 4
68 658 0
68 8 2
8 40 4
8 1068 5
594 514 6
514 1264 2
514 3 4
3 138 3
138 1064 6
1064 1594 4
1064 1612 5
138 697 7
64 866 7
866 72 6
1032 1155 7
1155 1168 2
1168 145 1
145 555 2
1168 1184 2
145 11 3
11 266 1
266 271 4
266 1314 4
266 1282 4
11 4 5
4 268 4
268 1286 5
1286 1997 2
1286 1154 3
1154 1346 1
1168 1170 6
1184 1192 6
1168 732 6
732 1635 1
1314 1280 6
1280 1810 3
4 196 6
196 737 7
737 608 5
138 648 7
648 533 5
648 528 6
528 785 2
528 808 4
808 58 2
58 26 3
26 186 2
186 1212 3
1212 1349 3
58 618 4
58 259 4
528 1563 4
259 297 5
297 1803 4
1803 273 2
785 267 5
267 643 0
267 1099 0
267 257 4
257 1152 0
1152 1312 0
1152 400 3
1312 104 5
1312 1319 6
1152 1944 6
1944 1941 5
26 339 6
400 1825 7
1825 1357 4
1357 1666 3
1666 644 1
1666 430 5
430 428 2
428 150 0
430 296 5
296 389 3
648 536 7
536 666 5
666 1271 5
1271 1979 0
1979 2024 0
2024 508 0
1979 1433 0
1979 980 0
980 1469 0
1271 1899 0
1979 1526 1
1526 1947 0
1947 1838 0
1838 383 0
383 1003 0
1003 1787 0
1003 1909 0
1526 1375 0
1375 2038 0
1526 599 0
599 958 0
958 1949 0
1947 1555 1
383 1491 1
1491 1527 1
2024 2047 1
2047 1757 0
2047 1783 1
1783 1230 0
508 1742 1
1742 1407 1
980 1247 1
1247 1773 1
1407 1011 2
599 2043 2
1947 1939 2
1433 501 2
1003 1070 3
1757 1101 3
1527 1108 4
1108 1488 3
1773 1744 4
1744 1165 1
1070 1069 4
2047 1316 5
1316 1317 5
1783 1087 5
1087 211 0
1949 829 6
1527 1914 6
1433 1246 6
1246 1374 6
204 173 7
173 301 6
1152 1925 8
10 515 8
515 610 0
610 1084 8
1084 1121 8
1121 1581 0
1121 51 0
51 115 1
51 49 2
51 129 6
129 388 2
388 1428 5
129 1220 5
1220 1096 0
1096 1093 1
1220 1548 2
1121 1120 6
536 586 8
586 234 0
234 482 2
267 255 8
1084 20 8
20 52 3
52 436 0
52 96 1
96 224 6
224 226 4
226 42 3
42 574 5
574 306 1
306 852 5
852 1094 3
1094 1092 4
852 823 5
306 820 5
574 1610 6
42 112 6
112 36 3
36 22 3
22 2 3
2 203 0
203 1178 2
1178 1805 2
2 35 2
35 264 2
2 193 2
2 770 4
112 32 4
1178 1034 5
1034 481 0
2 1043 5
32 484 6
770 1306 6
1306 348 6
348 276 2
276 309 5
309 1076 3
1076 1714 0
309 1965 3
36 676 6
20 86 6
86 662 0
193 641 6
193 1504 6
20 152 7
20 2029 7
36 416 7
416 545 7
545 391 3
36 1213 7
32 38 7
38 162 6
162 202 3
202 78 2
78 668 4
276 798 7
1092 1189 7
1189 1541 2
86 764 7
1612 16 8
16 28 2
594 602 8
602 201 2
602 626 5
626 578 5
602 1029 7
1029 57 4
1168 1494 8
580 1510 8
112 1056 8
1056 1380 5
1056 290 6
290 354 1
354 864 6
864 1384 8
1384 1376 1
1376 358 0
1376 258 8
258 985 5
985 1496 1
1496 424 7
424 185 0
424 440 2
185 237 4
237 239 3
290 363 8
514 690 8
690 874 4
690 674 7
674 1784 7
1093 1615 8
16 272 8
272 326 0
326 269 1
269 1353 2
272 1297 2
1353 1283 5
