18179
1024 1023
0 248 0
0 5 0
0 521 1
521 590 0
0 64 4
64 260 1
260 200 0
200 33 2
33 163 2
0 130 6
130 962 3
130 704 6
704 677 1
130 274 6
274 305 0
274 526 2
526 12 7
64 310 7
33 160 7
160 402 4
160 516 5
516 563 4
160 486 6
160 649 7
649 616 2
649 512 5
512 540 6
540 156 4
156 280 2
280 94 7
962 176 7
176 162 1
176 198 4
198 652 2
540 796 7
540 469 7
469 341 6
516 550 8
550 52 6
52 174 0
174 674 2
674 646 1
646 423 5
52 572 6
572 296 1
296 325 3
52 878 7
878 483 7
296 1011 8
674 657 9
200 121 9
130 642 9
516 332 10
332 390 10
390 474 4
310 849 10
516 614 10
0 440 10
440 920 8
920 925 9
469 213 10
213 85 0
85 80 7
80 66 3
80 48 3
48 184 3
48 151 3
48 560 5
560 548 4
548 3 2
548 2 3
2 608 2
608 552 5
2 78 5
2 133 6
133 1005 1
80 928 6
928 374 3
80 208 7
208 227 0
227 418 7
66 706 7
706 8 8
8 79 0
8 25 0
79 395 2
8 140 3
140 477 7
140 134 8
134 4 8
4 546 1
8 89 8
89 11 6
11 45 1
11 143 4
143 197 0
143 255 1
11 155 5
143 141 6
11 576 7
89 371 7
11 50 8
3 81 8
85 55 8
197 37 8
37 139 6
37 68 7
68 245 5
68 180 6
37 544 9
544 427 3
544 513 8
513 41 1
41 292 4
292 289 2
289 333 3
41 681 4
513 537 4
537 541 5
41 36 8
36 631 0
55 309 9
66 76 9
333 77 9
77 246 6
77 525 6
66 230 9
3 42 9
42 416 1
416 249 2
416 57 2
416 417 5
416 832 5
416 256 6
832 800 7
42 831 7
831 1012 1
1012 504 1
504 887 0
887 703 0
703 954 3
954 950 2
950 1015 2
1012 1021 3
1021 927 3
950 1023 3
950 575 4
575 519 1
504 1020 4
1012 990 4
990 955 0
831 272 5
272 840 3
272 405 3
840 320 5
320 786 1
504 715 6
715 169 4
169 953 2
953 803 1
405 262 6
262 338 5
338 856 3
338 787 4
787 795 1
887 367 7
800 816 8
249 125 8
262 775 8
795 267 8
856 472 8
472 478 0
472 393 5
478 738 7
856 890 8
890 895 6
227 867 9
840 583 9
143 222 9
55 818 10
513 1 10
1 23 0
1 261 0
261 273 0
1 69 1
1 295 4
1 120 5
1 103 6
1 641 6
273 923 6
273 16 7
16 567 3
567 916 1
16 6 4
6 38 2
38 935 4
6 904 7
904 392 0
904 170 1
904 344 7
23 7 8
7 131 0
7 128 2
