73514
4096 4095
0 2560 1
2560 2164 1
0 1025 3
1025 1041 2
1025 1632 3
0 68 4
68 52 3
52 310 4
68 2868 4
68 580 6
68 213 6
213 32 0
32 864 1
864 370 0
32 1066 1
864 808 5
808 3112 2
3112 1032 1
3112 2126 2
2126 2050 4
2050 2048 0
2048 2180 2
2048 2053 2
2053 2605 3
2048 2057 3
2057 3325 2
2057 2530 3
2053 1846 4
1846 3927 4
2053 1157 4
1157 3536 0
2048 130 4
2057 74 5
1032 1931 5
2048 36 5
36 168 3
168 1188 1
168 584 2
168 40 2
40 562 1
36 2832 3
2832 2561 1
2561 3087 4
3087 3103 3
40 387 4
584 606 5
168 652 5
652 524 2
524 820 0
168 3467 5
864 133 6
36 1133 6
2530 3488 6
3488 2594 4
2530 196 6
196 2630 0
196 3094 1
3094 3076 2
3076 3204 1
3076 3908 2
3094 1280 2
1280 3264 0
1280 3857 2
1280 1291 3
3204 1692 3
196 29 4
3076 304 5
304 72 1
72 1097 1
304 2609 2
304 536 2
304 20 3
20 1587 3
304 2993 5
3857 3392 5
3076 596 5
596 517 3
20 165 6
165 3633 2
165 161 2
161 2272 1
3633 917 5
165 2212 6
2212 2532 6
2532 2994 5
2048 2060 6
2060 532 6
2050 3603 6
2048 2077 6
2077 2073 3
2073 2137 2
2073 2333 5
2333 345 3
32 2853 6
2853 1543 1
1543 3077 2
3908 1568 6
1568 1572 0
1572 2596 2
1568 1062 3
1062 1585 6
864 866 7
866 3521 6
2609 2663 7
165 660 7
165 513 7
513 769 3
769 2361 0
769 18 0
18 2402 0
18 1584 1
1584 2748 1
2748 3066 0
3066 4026 0
4026 4070 0
4070 3759 0
3759 3813 0
3813 4094 0
4094 2045 0
2045 3999 0
3999 4049 0
4049 4095 0
4095 2747 0
2747 3062 0
3062 4037 0
4037 3847 0
3847 3995 0
3995 2429 0
2429 3014 0
3014 2011 0
2011 926 0
926 2557 0
2557 4003 0
4003 3790 0
2747 3695 0
3695 3577 0
3577 3996 0
3996 381 0
4037 3020 0
3020 4043 0
4043 4079 0
4079 3991 0
3991 2029 0
2029 2003 0
2003 4091 0
2029 1246 0
1246 1774 0
1774 4047 0
2029 755 0
755 1979 0
1979 2526 0
2526 4039 0
4039 3711 0
4039 3583 0
3583 3954 0
3954 3516 0
3954 3198 0
2429 2923 0
2923 3004 0
3004 3214 0
3214 3979 0
3979 3707 0
3214 2909 0
3214 2750 0
2750 3548 0
3548 3835 0
3835 1741 0
1741 4052 0
4052 3833 0
3583 637 0
637 1967 0
1967 4062 0
4039 1014 0
3847 2963 0
2963 3742 0
3742 3957 0
3957 3771 0
