1044
64 63
0 14 6
14 10 5
0 32 6
32 8 1
8 42 6
10 3 7
3 17 7
17 21 1
21 55 1
17 4 2
4 28 2
4 6 2
4 20 3
17 1 4
4 40 5
40 41 6
20 54 9
0 26 9
3 27 10
27 56 1
56 16 8
16 25 9
25 24 2
0 5 10
40 52 11
1 43 11
16 46 12
14 11 14
0 57 14
57 60 2
60 30 1
41 33 15
33 7 15
7 36 1
7 12 3
26 19 15
20 44 16
6 13 16
0 34 18
44 15 21
3 18 21
18 2 5
2 62 19
62 61 4
15 50 22
34 39 22
7 47 23
6 23 23
44 45 33
45 53 3
45 9 21
52 38 33
21 31 35
31 63 34
36 48 36
0 22 37
13 37 38
11 35 39
35 51 39
48 49 40
60 59 51
22 58 75
45 29 84
