4175
256 255
0 59 4
0 97 7
97 141 1
97 118 10
0 33 10
33 65 2
33 67 6
67 34 6
33 49 7
49 48 2
48 100 2
100 101 3
48 240 3
100 215 5
240 177 11
177 160 9
160 129 0
129 16 2
16 210 1
160 130 2
160 32 2
32 68 2
68 37 0
68 18 1
18 20 0
18 146 1
20 21 3
160 188 3
188 184 2
20 182 4
129 195 5
37 180 5
21 181 6
160 242 6
160 4 6
16 144 6
144 29 1
181 189 7
32 2 7
2 3 1
3 178 3
2 23 3
68 69 7
21 51 8
51 5 0
146 158 8
2 230 9
182 176 10
230 206 10
16 22 10
16 17 10
17 153 6
17 137 8
17 145 8
145 83 2
145 209 3
145 173 4
145 81 11
81 73 1
73 233 4
81 31 8
153 8 11
8 190 8
8 128 10
128 132 4
137 217 11
68 72 11
72 74 3
72 96 11
210 102 11
49 9 11
9 10 9
68 28 12
28 14 1
14 15 1
15 11 3
11 43 6
43 167 5
167 133 6
11 170 8
15 13 11
21 221 13
170 168 14
168 225 6
168 248 9
167 139 14
20 1 14
1 134 7
65 7 14
7 40 2
40 25 8
25 57 8
57 41 1
41 201 7
7 39 14
33 103 14
103 116 0
83 115 14
33 36 15
4 77 15
69 199 15
199 85 2
158 187 15
187 186 4
83 211 15
211 147 9
32 237 15
132 135 15
133 140 16
140 12 1
12 76 0
76 92 15
92 84 11
12 42 15
85 80 16
80 218 10
80 216 16
28 108 16
108 200 10
200 142 8
200 196 14
4 228 16
228 104 1
130 154 16
74 192 16
192 197 14
197 241 6
0 112 17
112 126 2
112 113 11
209 249 17
249 243 0
249 219 0
219 87 11
243 161 11
161 224 3
161 165 7
186 208 18
181 55 18
55 82 3
82 91 11
36 38 18
38 56 7
38 131 7
131 179 2
38 245 15
245 166 6
245 227 10
227 120 14
10 156 18
196 86 18
86 6 6
216 212 18
158 47 18
47 110 11
68 222 18
33 35 19
96 78 19
17 66 20
66 19 4
66 26 15
22 159 20
0 164 20
82 90 21
90 121 11
72 88 21
88 89 12
57 53 22
53 117 11
12 44 22
26 52 22
176 226 23
226 239 8
226 106 11
134 143 24
76 94 24
94 250 0
94 75 0
75 99 15
37 111 24
84 98 25
192 185 25
161 70 25
38 194 25
194 64 15
64 220 8
184 60 26
60 162 10
60 30 10
30 95 11
95 223 15
60 24 22
64 232 26
240 150 27
165 193 27
98 114 27
18 50 28
9 27 28
192 204 28
232 93 28
135 71 29
179 149 29
19 107 29
107 62 2
56 61 31
61 157 11
40 109 32
216 138 32
138 174 2
174 175 0
130 151 32
36 172 33
172 124 24
55 54 33
164 163 33
163 198 13
174 136 34
136 234 5
234 46 34
46 58 14
46 236 16
137 191 34
168 123 35
107 119 36
119 247 4
247 246 2
247 253 3
77 207 36
199 122 37
161 205 40
91 155 40
97 105 40
212 213 41
193 229 41
13 45 42
168 238 42
239 127 44
181 183 45
156 152 45
186 125 46
211 203 46
163 148 46
128 171 48
99 235 53
118 214 53
139 251 58
104 202 58
164 252 66
252 244 48
134 231 68
104 79 77
17 169 80
201 255 84
126 254 89
75 63 98
